property,plan,roomType,beds,baths,sqFt,minPrice,maxPrice,availability,url,imagePath,pros,cons,dataWarning
The Block (various locations),23rd: Efficiency SMART,0 Bed / 1 Bath,0,1.0,375,1359,1359,Waitlist,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/e02bc780-6824-458c-84f4-7969bc81736c/671-23rd-Efficiency-SMART-01?width=660&height=445&ext=.png,"Maximum privacy (no roommates), Fully furnished, Affordable SMART housing program rate",Waitlist status (limited immediate spots),
The Block (various locations),25th W: Efficiency Premium SMART,0 Bed / 1 Bath,0,1.0,323,1359,1359,Limited Availability,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/13d3a4c9-844c-4496-b0b3-e76347908c88/671-25th-West-Efficiency-Premium-SMART-01.png?width=660&height=446&ext=.png,"Maximum privacy (no roommates), Fully furnished, Affordable SMART housing program rate, Direct lease available",,
The Block (various locations),Pearl N: Efficiency A SMART,0 Bed / 1 Bath,0,1.0,380,1359,1359,Limited Availability,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/d5cc8faa-98d9-4801-8df2-c58d4bd49f4c/671-Pearl-N-Efficiency-A-SMART-01?width=660&height=445&ext=.png,"Maximum privacy (no roommates), Fully furnished, Affordable SMART housing program rate, Direct lease available",,
The Block (various locations),Pearl N: Efficiency B SMART,0 Bed / 1 Bath,0,1.0,571,1359,1359,Waitlist,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/41dcece5-d58c-490d-8f3a-e4387955ffc3/671-Efficiency-B-SMART-01?width=660&height=445&ext=.png,"Maximum privacy (no roommates), Fully furnished, Affordable SMART housing program rate",Waitlist status (limited immediate spots),
The Block (various locations),Pearl S: Efficiency A SMART,0 Bed / 1 Bath,0,1.0,381,1359,1359,Limited Availability,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/f65fc531-68ae-46b8-8b6b-86248068c60d/671-Pearl-S-Efficiency-A-SMART-01?width=660&height=445&ext=.png,"Maximum privacy (no roommates), Fully furnished, Affordable SMART housing program rate, Direct lease available",,
The Block (various locations),Pearl S: Efficiency B SMART,0 Bed / 1 Bath,0,1.0,571,1359,1359,Waitlist,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/f73614c3-be4d-4207-a3b1-b3b08cd5ae45/671-Pearl-S-Efficiency-B-SMART-01?width=660&height=445&ext=.png,"Maximum privacy (no roommates), Fully furnished, Affordable SMART housing program rate",Waitlist status (limited immediate spots),
The Block (various locations),Pearl S: Efficiency C,0 Bed / 1 Bath,0,1.0,458,1401,1401,Waitlist,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/c47d7fed-4127-4118-9c15-508d43aeb158/671-Pearl-S-Efficiency-C-01?width=660&height=445&ext=.png,"Maximum privacy (no roommates), Fully furnished",Waitlist status (limited immediate spots),
The Block (various locations),23rd: 1 Bed - 1 Bath A SMART,1 Bed / 1 Bath,1,1.0,632,1447,1447,Waitlist,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/4f2f8fff-7fdf-4f8d-9ee9-5c7e60008a3f/671-23rd-1-Bed-1-Bath-A-SMART-01.png?width=661&height=445&ext=.png,"Maximum privacy (no roommates), Fully furnished, Affordable SMART housing program rate",Waitlist status (limited immediate spots),
The Block (various locations),23rd: 1 Bed - 1 Bath B Premium,1 Bed / 1 Bath,1,1.0,546,1674,1674,Waitlist,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/548160c8-07bd-4060-9045-787b3c72f1a8/671-23rd-1-Bed-1-Bath-B-Premium-01?width=660&height=445&ext=.png,"Maximum privacy (no roommates), Fully furnished",Waitlist status (limited immediate spots),
The Block (various locations),23rd: 1 Bed - 1 Bath B Premium SMART,1 Bed / 1 Bath,1,1.0,546,1447,1447,Waitlist,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/21b96357-fe91-4675-8379-410d712d8aac/671-23rd-1-Bed-1-Bath-B-Premium-01_1.png?width=661&height=445&ext=.png,"Maximum privacy (no roommates), Fully furnished, Affordable SMART housing program rate",Waitlist status (limited immediate spots),
The Block (various locations),23rd: 1 Bed - 1 Bath C Premium,1 Bed / 1 Bath,1,1.0,720,1744,1744,Waitlist,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/b4c141eb-f278-43c2-aa24-f2007f15c67b/671-23rd-1-Bed-1-Bath-C-Premium-01?width=660&height=445&ext=.png,"Maximum privacy (no roommates), Fully furnished","Premium pricing tier, Waitlist status (limited immediate spots)",
The Block (various locations),23rd: 1 Bed - 1 Bath C Premium SMART,1 Bed / 1 Bath,1,1.0,720,1447,1447,Waitlist,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/ef95dc9e-10b4-4f47-9d55-8574fdf42f64/671-23rd-1-Bed-1-Bath-C-Premium-01_1.png?width=660&height=446&ext=.png,"Maximum privacy (no roommates), Fully furnished, Affordable SMART housing program rate",Waitlist status (limited immediate spots),
The Block (various locations),23rd: 2 Bed - 1 Bath,2 Bed / 1 Bath,2,1.0,806,1184,1224,Waitlist,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/26fbb246-b96a-4507-8987-b1b60fc91606/671-23rd-2-Bed-1-Bath-01?width=660&height=445&ext=.png,Fully furnished,"Shared bathroom (2 residents sharing 1 baths), Waitlist status (limited immediate spots)",
The Block (various locations),23rd: 2 Bed - 2 Bath A Premium Private Bedroom,2 Bed / 2 Bath,2,2.0,812,1139,1179,Available,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/c41bdaa5-8a60-4240-ba93-70d9188460ba/671-23rd-2-Bed-2-Bath-A-Premium-Private-01?width=660&height=445&ext=.png,"Private bathroom for every resident, Fully furnished, Direct lease available",,
The Block (various locations),23rd: 2 Bed - 2 Bath A Premium Shared Bedroom,2 Bed / 2 Bath,2,2.0,,564,564,Limited Availability,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/7e9be082-58a7-43b6-b3fd-af4f4ee26d82/671-23rd-2-Bed-2-Bath-A-Premium-Shared-01.png?width=660&height=446&ext=.png,"Private bathroom for every resident, Fully furnished, Budget-friendly rent (under $1,000/mo), Direct lease available",Shared bedroom (limited privacy),
The Block (various locations),23rd: 2 Bed - 2 Bath B Premium,2 Bed / 2 Bath,2,2.0,926,1179,1199,Waitlist,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/4d17b24d-2ebb-466f-b237-e67290c163a6/671-23rd-2-Bed-2-Bath-B-Premium-ORIGINAL-01?width=660&height=445&ext=.png,"Private bathroom for every resident, Fully furnished",Waitlist status (limited immediate spots),
The Block (various locations),23rd: 2 Bed - 2 Bath C Premium Private Bedroom,2 Bed / 2 Bath,2,2.0,994,1074,1134,Limited Availability,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/7a8e5156-49a8-4436-afbd-ed4f52efe846/671-23rd-2-Bed-2-Bath-C-Premium-Private-ORIGINAL-01_1.png?width=660&height=446&ext=.png,"Private bathroom for every resident, Fully furnished, Direct lease available",,
The Block (various locations),23rd: 2 Bed - 2 Bath D Premium Private Bedroom,2 Bed / 2 Bath,2,2.0,,1164,1164,Waitlist,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/43dc28ba-6c66-491e-9e75-f3f8859e0ded/671-23rd-2-Bed-2-Bath-D-Premium-Private-01?width=660&height=445&ext=.png,"Private bathroom for every resident, Fully furnished",Waitlist status (limited immediate spots),
The Block (various locations),23rd: 2 Bed - 2 Bath D Premium Shared Bedroom,2 Bed / 2 Bath,2,2.0,,564,564,Limited Availability,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/63ee7804-7c75-42c2-9164-3fcdffcc05e1/671-23rd-2-Bed-2-Bath-D-Premium-Shared-Furnished.png?width=660&height=445&ext=.png,"Private bathroom for every resident, Fully furnished, Budget-friendly rent (under $1,000/mo), Direct lease available",Shared bedroom (limited privacy),
